text,timestamp,time_display,likes,retweets,replies,scraped_at
"喜闻乐见的喂饭环节又双叒叕与大家见面了

今天我们解读一篇新(软)闻(文)，将为你带来10000～20000U的潜在收益

去年11月15日，律动上出现了这么一篇新(软)闻(文)

我们拆解出文中的3个主干语句
1/ Circle投资Sei Network
2/ 该投资将使Sei牛逼
3/ 牛逼的范围将包含Sushi

我们补入1级信息差：
1/",2024-01-03T11:32:37.000Z,2024年1月3日,248,39,111,2025-10-01T13:29:44.964909
"在一个全流动性资产(Token)中，如果你想通过抢筹成为新的庄家，大概需要多少钱？

第1步：
你需要通过各种信息渠道，计算真实的FDV。",2023-12-09T18:27:58.000Z,2023年12月10日,292,71,42,2025-10-01T13:29:29.815307
"如果你把 A16Z 投过的Web3项目全部列出来，停止运营的比例达到了60%，币价归零的达到了85%，挺过两轮周期的，则只有5%。

能极大程度地干预项目方的领投资本都尚且这样，更何况你呢？

先沉下心来，学好语文。

每个优秀的人，都有一段静默的时光。",2023-12-05T04:22:04.000Z,2023年12月5日,206,27,30,2025-10-01T13:30:32.340868
"空投Airdrop社会历史的4个形态

第阶段，原始社会：
项目方懵懂无知
案例： $UNI $ENS
没有Tokenomics，没有坐庄的心思。在未被教化的市场里，“我只管发币，币价全靠天意。”
主打一个人傻钱多。

第阶段，封建社会：
项目方明白这招好用
案例： $DYDX",2023-11-30T10:02:24.000Z,2023年11月30日,207,51,59,2025-10-01T13:30:16.910648
"一个被大众接受的理论：财富自由了就应该不工作了，好好享受生活。

就在2小时前，99岁的查理芒格逝世。
如何解释：他为什么这么有钱了还在努力工作？从普通人的角度来看，他早就已经可以买到他想买的一切了。

因为有的人工作不是为了自己，而是为了别人，特别是那些跟随自己的人。",2023-11-28T23:09:04.000Z,2023年11月29日,253,29,57,2025-10-01T13:30:00.568718
#BtcSpring,2023-11-25T17:17:38.000Z,2023年11月26日,790,28,43,2025-10-01T13:28:59.610010
"有人在诋毁
有人想取代
有人戴着无知的帽子在起舞

没有挑战者能真正打败枪十七
因为他从来都不是孤身一人
背后有3万真正理解他，爱他的人

下一个加密时代
无论何时到来
也将会由这3万人共同开启",2023-11-23T19:31:24.000Z,2023年11月24日,244,5,86,2025-10-01T13:29:45.118236
"同一件事情换个说法，传达的意思就完全不一样

〈震惊！女大学生竟然业余兼职当小姐〉
换个标题
〈陪酒17载，她努力学习终于圆梦985〉

〈我爱上了兄弟的女朋友〉
换个标题
〈泪目！我深爱的女人爱上了我兄弟〉

要不怎么说web3的人做公关不专业呢

我今天刷到的新闻标题大部分都是",2023-11-23T08:08:43.000Z,2023年11月23日,247,37,57,2025-10-01T13:30:00.659941
"人类智力的最高形式，就是不带情绪的观察。

我们需要把【事件】和【认知】这两件事分开

一个德扑局上大家纷纷讨论自己买的豪宅(事实)
你觉得他们不带你聊天是看不起你(认知)

真正让人类困惑的不是事情本身，而是对事情的看法，看法最终会主导情绪",2023-11-22T16:43:06.000Z,2023年11月23日,260,64,39,2025-10-01T13:29:44.993427
"[科普]
USDT是如何被铸造出来的？

2021年4月～11月，彼时还是资本巨头的Alameda铸造了足足390亿美金的USDT，占USDT总流通量的47%。

USDT·总·流·通·量·的·47%！

这本该是一个天崩地裂的新闻，但2021年人人都沉浸在DeFi",2023-11-21T13:33:22.000Z,2023年11月21日,281,63,29,2025-10-01T13:29:44.878786
"7年前，淘宝还是电商老大，所有电商平台无法逾越的高山。
虽然身为网店第一大平台，但集团内部是却是坚决不允许“小二”开网店，或参与网店运营，连当顾问也不行。

淘宝的领导人们看得很清楚
这套逻辑不仅仅是担心平台内向平台外进行利益输送，从而滋生腐败；",2023-11-20T06:22:22.000Z,2023年11月20日,358,74,38,2025-10-01T13:29:15.890673
"[扫盲]
BTC最早的应用场景黑市交易，15年来一直活跃于洗钱市场
洗钱叙事在加密市场上造出了诸多深盘： $AXS $PEPE 等

和BTC一同开放于天之杯的另一朵恶兆之花——乐高
它的市场是什么样的呢？",2023-11-19T07:39:24.000Z,2023年11月19日,200,44,39,2025-10-01T13:30:32.409988
"今天和zkSync项目方聊了一下午之后，我总结认为空投的逻辑有3个：

1/ 与官方重点扶持的第三方dapp交互
评语：只有和重要的合作伙伴(政府官员，VC，做市商，以太坊基金会成员等权贵阶级)做的dapp交互才有用，和屌丝开发者做的dapp交互没用。",2023-11-13T15:26:36.000Z,2023年11月13日,198,43,84,2025-10-01T13:30:16.851130
"诺贝尔经济学奖得主罗伯特-席勒（Robert Shiller）说： “黄金是泡沫，但它一直都是泡沫。它有一些工业用途，但基本上就是一种持续了数千年的狂热。”

如果比特币成功地成为一种值得信赖的价值存储，那么它的最终状态就是泡沫。泡沫也是比特币获得更广泛接受的方式。",2023-11-07T21:45:17.000Z,2023年11月8日,188,20,24,2025-10-01T13:30:16.760505
"图表高阶技巧：如何更好地观摩各个做市周期的筹码分布？

a) 做市强度极弱时：市场气氛狂热，散户交易活跃度高，做市商介入少。此方法有利于你观察散户筹码分布。
b) 做市强度极强时：市场信心不足，散户交易活跃度低，交易订单基本都来自做市商。此方法方便你观察做市商筹码分布。",2023-11-05T05:09:43.000Z,2023年11月5日,421,139,50,2025-10-01T13:29:15.589551
"自己在用的奇技淫巧一则：
怀疑某些项目可能会有空投，你如何在项目方准备空投的第一时间知晓？

这里假设我怀疑 op 的某个页面可能会公布空投计划

1、打开海外的知名监控网站 uptimia ，注册一个账号(可以免费试用30天)

2、账号注册完它会让你创建一个它推荐你使用的监控，一般是检测某个网页的",2023-10-30T14:08:21.000Z,2023年10月30日,384,115,42,2025-10-01T13:29:15.707055
"放下K线，涨认知的时间到了

Proshares 的 Bitcoin Strategy ETF已经在纽交所上了有一阵子了，但只要你安安静静打开SEC官网披露的文件，查找该ETF的资金用途，能看到如下一段话：

“资金将会被优先投资bitcoin的合约，资金可能会投资如下的几种资产”

- Bitcoin Futures Contracts
- Canadian Exchange",2023-10-24T08:04:02.000Z,2023年10月24日,375,93,70,2025-10-01T13:29:15.763207
"万字交易复盘：去年这时候，我在FTX爆雷前和孙宇晨博弈了整整一个月

2022年10月8日凌晨，火币发布公告，李林退出，百域资本收购火币。

没过几天孙宇晨就自爆自己才是买家，大家印证了心里对买家的猜想。

注：本线程目的仅为复盘逻辑推理和交易操作，对孙本人的无任何人身攻击及其他负面倾向引导",2023-10-23T02:29:36.000Z,2023年10月23日,265,65,49,2025-10-01T13:29:44.936799
"我

辅导54个项目方做市
10+个在黄黑所上
亲手写过200份研报
帮20个项目共花过10亿上币费
同时对接60个英语母语作者
每个月收20个项目方的顾问费
精通8种编程语言和主流开发堆栈
教过90个创始人学英语
尽调过1800多个项目
成功撸毛过50个项目
二级市场交易胜率97%

麻烦不要随便班门弄斧",2023-10-10T19:23:38.000Z,2023年10月11日,289,39,129,2025-10-01T13:29:29.785481
"一个普通人拿住100倍币的情况只有如下3种：

1. 买进去之后立即遇上一波超级行情，币价涨得太快了，一周100倍

2. 建的仓位太小，小到自己忘记了，2年后等想起来的时候100倍了

3.",2023-09-28T13:06:28.000Z,2023年9月28日,234,55,44,2025-10-01T13:30:00.630636
"韩国市场玩的东西，永远比中文市场落后6~12个月。

我之前分享过韩语推文的关键词搜索技巧。
如果，韩国项目方发推用英文呢？

【重磅】干货来了：
推特搜索关键词里填

airdrop near:Seoul within:10mi

那么你将可以搜出来所有发布于韩国首尔附近，且内容包含airdrop的推文。",2023-09-23T12:59:48.000Z,2023年9月23日,199,48,18,2025-10-01T13:30:16.731793
"问大家一个问题：

在一个交易所里，多头和空头你争我夺，形势剑拔弩张。

空头大举做空，而多头不甘示弱一直在拉盘轧空，双方陷入了激烈对抗。",2023-09-10T07:57:26.000Z,2023年9月10日,241,74,25,2025-10-01T13:30:00.715836
"以CyberCoxxect为例，如何跟踪一个项目在twitter韩国区的动向？
包括KOL，线下活动，用户讨论等。

在搜索关键词里加入""lang:ko""就可以【只看】韩语区了，其余的关键词可使用如下3种：

1.token的名字
2.项目的名字
3.项目的twitter id",2023-09-02T07:22:38.000Z,2023年9月2日,390,147,56,2025-10-01T13:29:15.679500
"不少人做空 $CYBER 亏了。

价格的涨跌只和资金的进出有关

所以，做空的契机应该是：
因为涨得高
确定后面没有资金进来

怎么确定后面会不会有资金进入？

记得我在OP相关的Space里讲过吧，为什么ARB的底针不能随便接，而OP的可以？
必须要和庄家进入单挑底池，你才有赢的可能。",2023-09-02T07:03:34.000Z,2023年9月2日,209,52,36,2025-10-01T13:30:32.309817
"如何用领先于全网的第一视角来阅读“灰度赢得针对SEC的诉讼”这条快讯？

我在这里分享一些思路，希望对你未来的分析思路产生一些帮助。

1) 打开所有中文媒体报道这条快讯的链接，点开左下角的“原文链接”。
所有中文的信息来源为如图链接：",2023-08-29T15:40:31.000Z,2023年8月29日,372,126,50,2025-10-01T13:29:15.735120
"几个小时前从海外的一个信息茧房里无意中发现了一个专业researcher组成的社区，整个社区撰写了市面上大大小小几千个项目的研究report并全部集合到一起。

读了几份，质量还都可圈可点。
着实有被震惊到。",2023-08-26T21:26:26.000Z,2023年8月27日,659,203,28,2025-10-01T13:28:59.726841
"和从前上学的时候一样：
要想高考比别人多一分，就要多刷10份练习题。

在建立项目库信息方面，你就可以超越其他散户。

这是我的诸多信息管道的其中一个：

手机上安装6~8个新闻app（中英文都可以），必须全都打开推送，嫌烦的话，可以关闭推送的声音，但是推送预览必须打开。",2023-08-16T04:47:20.000Z,2023年8月16日,269,78,40,2025-10-01T13:29:44.908068
"今天喊七八个项目方开会，聊了一下他们最近的做市情况。

无意中分享到最近很多散户热衷于玩合约资金费率“无风险套利”。

第【1】层博弈：
合约一般8小时收一次手续费，8点第一次，16点第二次，0点第三次。",2023-08-13T18:56:37.000Z,2023年8月14日,281,100,33,2025-10-01T13:29:29.844762
"这是一条能让你未来多赚8000U的推

OP有一套艺术类NFT，我建议你时刻保持关注，并想办法争取一下mint的资格。

OP的定位是超级链，而不是L2（这和之前的陈述有所不同）。只要你经常看新闻就能知道，最近很多项目方都开始用Op Stack做链，而等大家都用上了Op Stack后，会发生什么呢？",2023-08-10T19:19:32.000Z,2023年8月11日,264,96,23,2025-10-01T13:29:44.850244
"《孤注一掷》里跳楼的那个受骗者顾天之(王大陆饰演)，陷入了一个赌徒谬误：

“第一次下注1元，第二次下注2元，第三次下注4元，每轮都下注前面一次金额的2倍。
只要持续押，总会有一次中，中的时候一次就能把前面的亏损全翻回来，而且还能赢一倍的钱。根据概率学，连续10次都输的概率是几乎为0的。",2023-08-05T13:44:48.000Z,2023年8月5日,221,50,113,2025-10-01T13:30:00.772995
"持续了一年的“波形牛”告诉你，接下来你会很累，需要不断地追叙事。

做好仓位管理，接下来可能有：

新公链牛
L1->L2牛
L2->L1牛
BRC20-Swap / MEME牛
新交易所牛
Solana生态爆发牛
UniV4牛
RWA牛
上市概念牛
Infra牛
交易所爆雷牛
社区代币牛
以太MEME牛",2023-07-18T14:53:46.000Z,2023年7月18日,211,76,51,2025-10-01T13:30:16.667844
"【良心科普】你电脑上的私钥是如何被盗的？

不想送钱给黑客的，都给我使劲儿看！

（by:差评君）",2023-07-05T01:23:00.000Z,2023年7月5日,323,164,9,2025-10-01T13:29:29.638629
"昨天是父亲节，凌晨的时候想起初二时父亲教给我的几件事：

- 所有K线都是可以画出来的，形态都是骗傻韭菜的；
- 没有价值投资，价值来自于脑补，而且每个人脑补的还都不一样；
- 在你做交易时，如果你不知道将会从谁手里赚钱，那你一定亏钱；
- 有钱的不一定有实力，但没钱的一定没实力；
-",2023-06-19T04:20:07.000Z,2023年6月19日,363,107,32,2025-10-01T13:29:15.854353
"中文首发

Uniswap V4最重要的3个特性我认为如下：

1、架构调整
以前每个币对一个智能合约，之前如果router长几段，就要多花几倍gas，现在所有的币对都在一个大的合约里了。

2、钩子hook
以前大家依赖于uni团队去对合约做各种功能迭代，制约了更新速度。现在UniV4彻底就做一个底层流动性大池子。",2023-06-13T19:35:16.000Z,2023年6月14日,292,161,35,2025-10-01T13:29:29.756342
"在熊市存活，你一定不知道的几个反常识冷知识：

1、关于生态

买币要买就买生态差的，最好是 $ADA $FTM 这种没生态的，上面都没几个能打的Dapp。生态好→持币的散户多→筹码分散→车重→币拉不动。

我的熊市alpha模型给你参考：
a.极少几个独立研究员发了
b.上个月拿了一轮不错的融资",2023-05-30T18:08:31.000Z,2023年5月31日,392,183,49,2025-10-01T13:29:15.651243
"我发现很多韭菜对于「中心化」和「去中心化」的区别完全分不清啊，只好普及一些基础冷知识了：

Q: ETH去中心化吗？
A: 不。Coinbase和Lido只要诚心不想打包你的交易，你的gas price比普通高也没用。

Q: AAVE去中心化吗？
A: 不。利率，报价都是链下操纵的，去中心化居然会有“产生坏账”这一说。",2023-05-08T21:27:07.000Z,2023年5月9日,270,132,65,2025-10-01T13:29:44.819214
"冷知识：
$PEPE 做市钱包，前期启动热盘到大规模真散户入场的资金花费约为：3000~5000万美金",2023-05-07T00:23:47.000Z,2023年5月7日,211,65,44,2025-10-01T13:30:00.600000
"《三年炒币五年模拟》系列之

BTC庄家日记",2023-03-18T08:54:00.000Z,2023年3月18日,261,102,20,2025-10-01T13:29:45.021045
